Descripcion,Ubicacion,Colonia,Zona,USD/MX,Precio,Numero_m2,M2,Numero,Banos/Estacionamiento
"Cad Pabellón Costera Oficina 26, 51 m², dos niveles. Ubicado en el segundo nivel de la plaza comercial. Renta mensual incluyendo mantenimiento e iva $13, 500Pabellón Costera, es una de las plazas de bienes de consumo más importantes en esta zona de Acapulco Dorado, rodeada de condominios y fraccionamientos para clientes locales y turismo. Pabellón Costera cuenta con locatarios tales como Tacos´ Tumbras, Helados Santa Clara, gnc, Dormimundo, Ruben´s Hamburguesas, varios médicos de prestigio y muchos más. Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! "," Lomas de Costa Azul, Acapulco de Juárez",,,MN,"13,500",51,m²,,
"Cad Torre Latina - Oficina piso 6. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoLas áreas privativas son: Superficie de oficina 236. 81 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 31 m²Precio de la renta mensual $54, 466 (Este importe considera todo el piso, existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! "," Fraccionamiento Club Deportivo, Acapulco de Juárez",,,MN,"54,466",236,m²,5,estac.
"Cad Torre Latina - Oficina piso 9. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoSuperficie de oficina 237. 12 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 62 m²Precio de la renta mensual $54, 437 (Este importe considera todo el piso, existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! "," Fraccionamiento Club Deportivo, Acapulco de Juárez",,,MN,"54,437",237,m²,5,estac.
"Cad Torre Latina - Oficina piso 7. Vistas al campo de golf y a la bahía de Santa Lucía con 5 cajones de estacionamientoSuperficie de oficina 237. 12 m² Superficie de áreas comunes 16. 50 m²Superficie total 253. 62 m²Precio de la renta mensual $54, 437 (Este importe considera todo el piso. Existe la posibilidad de renta por módulos) Costo por metro cuadrado $230Se incluye renta y cuotas de mantenimiento (más el iva correspondiente) Torre Latina, Edificio comercial de 12 niveles, con varias opciones de espacios para las diferentes necesidades, ubicada en el corazón financiero de Acapulco, con vistas a la bahía de Santa Lucía, y al Campo de Golf de Acapulco, con una superficie total de construcción de 2, 956 m². Servicios: Vigilancia Elevador panorámico Estacionamientos con acceso por medio de elevadorCasas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! Casas Acapulco DiamanteSomos una inmobiliaria que te ayudará a encontrar el mejor inmueble de acuerdo a tus sueños, necesidades y presupuesto. Permite que seamos parte en el proceso de la compra o renta que tienes en mente, dándote la seguridad de que será la mejor oportunidad para operar siempre con transparencia y confiabilidad. Con una atención personalizada, nos ocupamos de que encuentres el inmueble de acuerdo a tus necesidades, acompañándote y asesorándote desde el principio hasta el cierre de la operación. Nuestro compromiso y seriedad, han permitido contar con la confianza de muchos propietarios y clientes que nos hacen día a día la inmobiliaria más confiable de Acapulco. ¡Permite que seamos parte de la realización de tus sueños! "," Fraccionamiento Club Deportivo, Acapulco de Juárez",,,MN,"54,437",237,m²,5,estac.
"Roma oficinas en renta. Oficinas desde 40, 80 y hasta 200 m2 nos adaptamos al espacio que necesites. Precio por metro cuadrado $230. Ubicación ideal, a 2 calles del metro Chapultepec, palacio de hierro Durango. Cuenta con elevador y vigilancia las 24 horas del día. Las oficinas exteriores tiene vista al castillo de Chapultepec. "," Roma Norte, Cuauhtémoc",,,MN,"17,600",80,m²,4,rec.
"En renta oficina sobre la avenida Cuauhtémoc, junto a colegio conamat, cerca de plazas Cuauhtémoc 166, Centro comercial Acapulco, Plaza Universidad y Galeritas Acapulco, cuenta con baño completo, terraza, y todos los servicios. "," Cuauhtémoc, Acapulco de Juárez",,,MN,"3,200",50,m²,1,rec.
"Se renta oficina o departamento sobre la avenida Cuauhtémoc, junto a colegio conamat, cerca de plazas Cuauhtémoc 166, Centro comercial Acapulco, Plaza Universidad y Galeritas Acapulco, cuenta con baño completo, terraza, y todos los servicios. "," Cuauhtémoc, Acapulco de Juárez",,,MN,"3,200",60,m²,1,rec.
"Oficina sobre Costera Miguel Alemán, a un costado del Centro de Convenciones, excelente ubicación primer y segundo piso se renta junto o por separado 100 metros cada piso (4) "," Acapulco de Juárez, Guerrero",,,MN,"13,000",200,m²,4,baños
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. Con elevador y seguridad. Precios desde: $8, 500. 00 con 36. 47 mtrs2. $19, 600. 00 con 84. 73 mtrs2. (4) "," Acapulco de Juárez, Guerrero",,,MN,"19,600",85,m²,1,baño
"Excelentes oficinas en renta, en reconocida Plaza Comercial, con una ubicación priviligiada sobre la Costera Miguel Alemán, a unos metros de la Playa y hoteles, gran movimiento vehicular y de personas. Oficina 50 mtrs2 $13, 000. 00 mensuales. Oficina 200 mtrs2 $50, 000. 00 mensuales. (4) "," Acapulco de Juárez, Guerrero",,,MN,"13,000",50,m²,1,baño
"Oficina / consultorio en Costa Azul en Acapulco. 63 m2. planta baja. 2 cubiculos. 1. 5 baños. aire acondicionado. a 1 cuadra de Costera. Incluye agua y mantenimiento. Oficina con derecho a uso de la alberca del condominio. 10, 000 mensual. EasyBroker id: eb-ir2335"," Fraccionamiento Costa Azul, Acapulco de Juárez",,,MN,"10,000",63,m²,1,baño
"Excelente ubicación, edificio corporativo, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada. "," Roma Norte, Cuauhtémoc",,,MN,"33,440",152,m²,,
"Oficina de 152 m2, edificio para oficinas, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada. Excelente ubicación. "," Roma Norte, Cuauhtémoc",,,MN,"33,440",152,m²,,
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. Con elevador y seguridad. Se renta un piso completo con 253. 61 mtrs2 (4) "," Acapulco de Juárez, Guerrero",,,MN,"58,400",254,m²,1,baño
"Renta de oficinas de diferentes medidas y precios, en Edificio muy bien ubicado en Costera Miguel Alemán, junto a notarias, bancos, etc. Con elevador y seguridad. Precios desde $7, 200. 00 con 36. 47 mtrs (4) "," Acapulco de Juárez, Guerrero",,,MN,"7,200",1,baño,,
"Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Aleman. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00"," Icacos, Acapulco de Juárez",,,MN,"82,816",487,m²,1,baño
"Piso 4 y 5 en renta. Edificio frente a walmart Icacos, en Av costera Miguel Alemen. Ideal para bufet de abogados, notarias o dependencias de gobierno. Cuenta con estacionamiento subterráneo y elevador. Características: Piso #4. 5 despachos. Zona de usos múltiples. Baños. Bodega. Cocina. Dimenciones: 487. 88m2. Precio de Renta: $200 m2 = $97, 576. 00. Piso #3. 8 despachos pequeños. Baños. Zona de usos múltiples. Dimenciones: 414. 08 m2. Precio de Renta: $200m2 = $82, 816. 00"," Icacos, Acapulco de Juárez",,,MN,"82,816",488,m²,2,estac.
"Ofrezco en renta anual, Oficinas de 12 m2. Amuebladas. Aire acondicionado. Sala de espera de uso comun. Baños para Damas y Caballeros de uso común. Sala de juntas. Ubicacion: Fraccionamiento Costa Azul. A 100 metros de la costera Miguel Alemán a la altura de del edificio Oceanic 2000. Incluido: Suministro agua potable. Luz aparte. Contrato anual. "," Fraccionamiento Costa Azul, Acapulco de Juárez",,,MN,"7,500",1000,m²,1,rec.
"Oficina de 138 metros cuadrados, ubicado en Roma Norte, edificio corporativo, cuenta con elevadores, recepción a la entrada, baños entre pisos, guardia en la entrada, excelente ubicación. "," Roma Norte, Cuauhtémoc",,,MN,"30,360",138,m²,,
"Edificio corporativo, oficina disponible de 162 m2, cuenta con elevadores, baños entre pisos, seguridad 24 horas, recepción en la entrada, ubicado en la colonia Roma Norte. "," Roma Norte, Cuauhtémoc",,,MN,"35,640",162,m²,,
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		CAD Torre Latina. Oficina Piso 6. Vista a la Bahía de Santa Lucía
	
",,,MN,"54,466",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		CAD Torre Latina. Oficina Piso 9. 5 Estacionamientos. Vista al mar
	
",,,MN,"54,437",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		Av. Costera Miguel Alemán 2611
	
",,,MN,"54,437",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,"
	
		Cuauhtémoc
	
",,,MN,"3,200","Cuauhtémoc,",Acapulco,de,Juárez
,"
	
		Cuauhtémoc
	
",,,MN,"3,200","Cuauhtémoc,",Acapulco,de,Juárez
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"19,600",Acapulco,de,"Juárez,",Guerrero
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		Alaminos
	
",,,MN,"10,000",Fraccionamiento,Costa,"Azul,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"33,440",Roma,"Norte,",Cuauhtémoc,
,"
	
		 Roma Norte 
	
",,,MN,"33,440",Roma,"Norte,",Cuauhtémoc,
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"58,400",Acapulco,de,"Juárez,",Guerrero
,"
	
		Costera Miguel Alemán
	
",,,MN,"7,200",Acapulco,de,"Juárez,",Guerrero
,"
	
		 Icacos 
	
",,,MN,"82,816","Icacos,",Acapulco,de,Juárez
,"
	
		 Icacos 
	
",,,MN,"82,816","Icacos,",Acapulco,de,Juárez
,"
	
		 Fraccionamiento Costa Azul 
	
",,,MN,"7,500",Fraccionamiento,Costa,"Azul,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"30,360",Roma,"Norte,",Cuauhtémoc,
,"
	
		 Roma Norte 
	
",,,MN,"35,640",Roma,"Norte,",Cuauhtémoc,
,Roma Norte,,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,Anton de Alaminos,,,MN,"8,500",Fraccionamiento,Costa,"Azul,",Acapulco
,Fraccionamiento Club Deportivo,,,MN,"25,000",Fraccionamiento,Club,"Deportivo,",Acapulco
,Fraccionamiento Costa Azul,,,MN,"25,000",Fraccionamiento,Costa,"Azul,",Acapulco
,Antiguo  Camino Acapulco,,,MN,"55,000",Lomas,de,San,Angel
,Las Brisas,,,MN,"40,000",Las,"Brisas,",Monterrey,
,QUEBRADA,,,MN,"43,000",Acapulco,de,Juárez,"Centro,"
,Acapulco,,,MN,"8,800",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"33,499",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"30,360",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"33,440","Condesa,",Cuauhtémoc,,
,Acapulco,,,MN,"8,800",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"35,640",Roma,"Norte,",Cuauhtémoc,
,Acapulco,,,MN,"33,440","Condesa,",Cuauhtémoc,,
,Acapulco 36 ,,,MN,"8,800","Roma,",Cuauhtémoc,,
,Acapulco 36,,,MN,"35,640",Roma,"Norte,",Cuauhtémoc,
,Costera Miguel Aleman,,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,piloto anton,,,MN,"10,000",Acapulco,de,"Juárez,",Guerrero
,Costera Miguel Aleman,,,MN,"7,200",Acapulco,de,"Juárez,",Guerrero
,Costera Miguel Aleman,,,MN,"16,550",Acapulco,de,"Juárez,",Guerrero
,Costera Miguel Aleman,,,MN,"49,500",Acapulco,de,"Juárez,",Guerrero
,Pabellón costera,,,MN,"13,500",Acapulco,de,"Juárez,",Guerrero
,VASCO NUÑEZ DE BALBOA,,,MN,"20,000","Hornos,",Acapulco,de,Juárez
,Vasco Núñez de Balboa,,,MN,"20,000","Hornos,",Acapulco,de,Juárez
,LEGAZPI,,,MN,"17,980","Hornos,",Acapulco,de,Juárez
,URDANETA,,,MN,"8,120","Hornos,",Acapulco,de,Juárez
,Avenida Ejido esquina Cerrada de Rio Bravo,,,MN,"3,500",Aguas,"Blancas,",Acapulco,de
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		CAD Torre Latina. Oficina Piso 6. Vista a la Bahía de Santa Lucía
	
",,,MN,"54,466",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		CAD Torre Latina. Oficina Piso 9. 5 Estacionamientos. Vista al mar
	
",,,MN,"54,437",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		Av. Costera Miguel Alemán 2611
	
",,,MN,"54,437",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,"
	
		Cuauhtémoc
	
",,,MN,"3,200","Cuauhtémoc,",Acapulco,de,Juárez
,"
	
		Cuauhtémoc
	
",,,MN,"3,200","Cuauhtémoc,",Acapulco,de,Juárez
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"19,600",Acapulco,de,"Juárez,",Guerrero
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		Alaminos
	
",,,MN,"10,000",Fraccionamiento,Costa,"Azul,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"33,440",Roma,"Norte,",Cuauhtémoc,
,"
	
		 Roma Norte 
	
",,,MN,"33,440",Roma,"Norte,",Cuauhtémoc,
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"58,400",Acapulco,de,"Juárez,",Guerrero
,"
	
		Costera Miguel Alemán
	
",,,MN,"7,200",Acapulco,de,"Juárez,",Guerrero
,"
	
		 Icacos 
	
",,,MN,"82,816","Icacos,",Acapulco,de,Juárez
,"
	
		 Icacos 
	
",,,MN,"82,816","Icacos,",Acapulco,de,Juárez
,"
	
		 Fraccionamiento Costa Azul 
	
",,,MN,"7,500",Fraccionamiento,Costa,"Azul,",Acapulco
,"
	
		 Roma Norte 
	
",,,MN,"30,360",Roma,"Norte,",Cuauhtémoc,
,"
	
		 Roma Norte 
	
",,,MN,"35,640",Roma,"Norte,",Cuauhtémoc,
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		CAD Torre Latina. Oficina Piso 6. Vista a la Bahía de Santa Lucía
	
",,,MN,"54,466",Fraccionamiento,Club,"Deportivo,",Acapulco
,"
	
		Cuauhtémoc
	
",,,MN,"3,200","Cuauhtémoc,",Acapulco,de,Juárez
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"58,400",Acapulco,de,"Juárez,",Guerrero
,"
	
		Costera Miguel Alemán
	
",,,MN,"7,200",Acapulco,de,"Juárez,",Guerrero
,"
	
		 Fraccionamiento Costa Azul 
	
",,,MN,"7,500",Fraccionamiento,Costa,"Azul,",Acapulco
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"19,600",Acapulco,de,"Juárez,",Guerrero
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		 Roma Norte 
	
",,,MN,"17,600",Roma,"Norte,",Cuauhtémoc,
,"
	
		COSTERA MIGUEL ALEMAN
	
",,,MN,"13,000",Acapulco,de,"Juárez,",Guerrero
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		 Roma Norte 
	
",,,MN,"33,440",Roma,"Norte,",Cuauhtémoc,
,"
	
		 Icacos 
	
",,,MN,"82,816","Icacos,",Acapulco,de,Juárez
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
,"
	
		Costera Miguel Alemán 3124, Lomas de Costazul, Acapulco
	
",,,MN,"13,500",Lomas,de,Costa,"Azul,"
